Image 140 Metrics for Fake A vs Real B: PSNR: 19.58, MSE: 0.01
Image 140 Metrics for Fake B vs Real A: PSNR: 16.60, MSE: 0.02
Image 141 Metrics for Fake A vs Real B: PSNR: 19.59, MSE: 0.01
Image 141 Metrics for Fake B vs Real A: PSNR: 17.16, MSE: 0.02
Image 142 Metrics for Fake A vs Real B: PSNR: 19.32, MSE: 0.01
Image 142 Metrics for Fake B vs Real A: PSNR: 17.28, MSE: 0.02
Image 143 Metrics for Fake A vs Real B: PSNR: 19.13, MSE: 0.01
Image 143 Metrics for Fake B vs Real A: PSNR: 17.08, MSE: 0.02
Image 144 Metrics for Fake A vs Real B: PSNR: 18.95, MSE: 0.01
Image 144 Metrics for Fake B vs Real A: PSNR: 17.32, MSE: 0.02
Image 145 Metrics for Fake A vs Real B: PSNR: 18.88, MSE: 0.01
Image 145 Metrics for Fake B vs Real A: PSNR: 17.27, MSE: 0.02
Image 146 Metrics for Fake A vs Real B: PSNR: 18.76, MSE: 0.01
Image 146 Metrics for Fake B vs Real A: PSNR: 16.98, MSE: 0.02
Image 147 Metrics for Fake A vs Real B: PSNR: 18.92, MSE: 0.01
Image 147 Metrics for Fake B vs Real A: PSNR: 17.26, MSE: 0.02
Image 148 Metrics for Fake A vs Real B: PSNR: 18.65, MSE: 0.01
Image 148 Metrics for Fake B vs Real A: PSNR: 17.20, MSE: 0.02
Image 149 Metrics for Fake A vs Real B: PSNR: 19.09, MSE: 0.01
Image 149 Metrics for Fake B vs Real A: PSNR: 17.05, MSE: 0.02
Image 150 Metrics for Fake A vs Real B: PSNR: 19.55, MSE: 0.01
Image 150 Metrics for Fake B vs Real A: PSNR: 16.25, MSE: 0.02
Image 151 Metrics for Fake A vs Real B: PSNR: 20.31, MSE: 0.01
Image 151 Metrics for Fake B vs Real A: PSNR: 15.88, MSE: 0.02
Image 152 Metrics for Fake A vs Real B: PSNR: 20.47, MSE: 0.01
Image 152 Metrics for Fake B vs Real A: PSNR: 15.67, MSE: 0.02
Image 153 Metrics for Fake A vs Real B: PSNR: 20.14, MSE: 0.01
Image 153 Metrics for Fake B vs Real A: PSNR: 15.31, MSE: 0.02
Image 154 Metrics for Fake A vs Real B: PSNR: 19.96, MSE: 0.01
Image 154 Metrics for Fake B vs Real A: PSNR: 16.18, MSE: 0.02
Image 155 Metrics for Fake A vs Real B: PSNR: 19.57, MSE: 0.01
Image 155 Metrics for Fake B vs Real A: PSNR: 16.25, MSE: 0.02
Image 156 Metrics for Fake A vs Real B: PSNR: 18.68, MSE: 0.01
Image 156 Metrics for Fake B vs Real A: PSNR: 16.01, MSE: 0.02
Image 157 Metrics for Fake A vs Real B: PSNR: 18.77, MSE: 0.01
Image 157 Metrics for Fake B vs Real A: PSNR: 16.05, MSE: 0.02
Image 158 Metrics for Fake A vs Real B: PSNR: 18.82, MSE: 0.01
Image 158 Metrics for Fake B vs Real A: PSNR: 16.11, MSE: 0.02
Image 159 Metrics for Fake A vs Real B: PSNR: 18.86, MSE: 0.01
Image 159 Metrics for Fake B vs Real A: PSNR: 16.34, MSE: 0.02
Image 160 Metrics for Fake A vs Real B: PSNR: 18.97, MSE: 0.01
Image 160 Metrics for Fake B vs Real A: PSNR: 16.25, MSE: 0.02
Image 161 Metrics for Fake A vs Real B: PSNR: 19.08, MSE: 0.01
Image 161 Metrics for Fake B vs Real A: PSNR: 16.69, MSE: 0.02
Image 162 Metrics for Fake A vs Real B: PSNR: 18.96, MSE: 0.01
Image 162 Metrics for Fake B vs Real A: PSNR: 16.60, MSE: 0.02
Image 163 Metrics for Fake A vs Real B: PSNR: 19.11, MSE: 0.01
Image 163 Metrics for Fake B vs Real A: PSNR: 16.34, MSE: 0.02
Image 164 Metrics for Fake A vs Real B: PSNR: 19.11, MSE: 0.01
Image 164 Metrics for Fake B vs Real A: PSNR: 16.67, MSE: 0.02
Image 165 Metrics for Fake A vs Real B: PSNR: 19.19, MSE: 0.01
Image 165 Metrics for Fake B vs Real A: PSNR: 16.93, MSE: 0.02
Image 166 Metrics for Fake A vs Real B: PSNR: 19.24, MSE: 0.01
Image 166 Metrics for Fake B vs Real A: PSNR: 16.64, MSE: 0.02
